well,OD_init,media_type,function
H11,22.5,YPG,trial_1
G2,22.5,YPG,trial_2
D3,22.5,YPG,trial_3
F6,22.5,YPD,trial_1
D8,22.5,YPD,trial_2
E4,22.5,YPD,trial_3
B7,22.5,YPDG,trial_1
D8,22.5,YPDG,trial_2
D1,22.5,YPDG,trial_3
H7,10,YPG,trial_1
C3,10,YPG,trial_2
A7,10,YPG,trial_3
B4,10,YPD,trial_1
H10,10,YPD,trial_2
F1,10,YPD,trial_3
E1,10,YPDG,trial_1
H10,10,YPDG,trial_2
B3,10,YPDG,trial_3
F12,5,YPG,trial_1
C6,5,YPG,trial_2
C10,5,YPG,trial_3
E6,5,YPD,trial_1
A8,5,YPD,trial_2
D10,5,YPD,trial_3
B10,5,YPDG,trial_1
A8,5,YPDG,trial_2
A6,5,YPDG,trial_3
G1,2.5,YPG,trial_1
H12,2.5,YPG,trial_2
B5,2.5,YPG,trial_3
G9,2.5,YPD,trial_1
F8,2.5,YPD,trial_2
D9,2.5,YPD,trial_3
H1,2.5,YPDG,trial_1
F8,2.5,YPDG,trial_2
E12,2.5,YPDG,trial_3
G11,1.25,YPG,trial_1
H3,1.25,YPG,trial_2
B1,1.25,YPG,trial_3
G5,1.25,YPD,trial_1
G3,1.25,YPD,trial_2
F7,1.25,YPD,trial_3
F2,1.25,YPDG,trial_1
G3,1.25,YPDG,trial_2
F9,1.25,YPDG,trial_3
C12,0.625,YPG,trial_1
A1,0.625,YPG,trial_2
D2,0.625,YPG,trial_3
E3,0.625,YPD,trial_1
C2,0.625,YPD,trial_2
G6,0.625,YPD,trial_3
F3,0.625,YPDG,trial_1
C2,0.625,YPDG,trial_2
E7,0.625,YPDG,trial_3
C11,0.3125,YPG,trial_1
D6,0.3125,YPG,trial_2
A5,0.3125,YPG,trial_3
H5,0.3125,YPD,trial_1
A9,0.3125,YPD,trial_2
H2,0.3125,YPD,trial_3
G10,0.3125,YPDG,trial_1
A9,0.3125,YPDG,trial_2
D11,0.3125,YPDG,trial_3
H8,0.15625,YPG,trial_1
F5,0.15625,YPG,trial_2
A3,0.15625,YPG,trial_3
E9,0.15625,YPD,trial_1
G4,0.15625,YPD,trial_2
E2,0.15625,YPD,trial_3
A4,0.15625,YPDG,trial_1
G4,0.15625,YPDG,trial_2
C1,0.15625,YPDG,trial_3
E5,0.078125,YPG,trial_1
H6,0.078125,YPG,trial_2
G7,0.078125,YPG,trial_3
E11,0.078125,YPD,trial_1
B2,0.078125,YPD,trial_2
C7,0.078125,YPD,trial_3
H4,0.078125,YPDG,trial_1
B2,0.078125,YPDG,trial_2
H9,0.078125,YPDG,trial_3
C8,22.5,YPG,standard
D7,10,YPG,standard
E10,5,YPG,standard
C9,2.5,YPG,standard
D5,1.25,YPG,standard
F10,0.625,YPG,standard
F4,0.3125,YPG,standard
F11,0.15625,YPG,standard
D12,0.078125,YPG,standard
B8,NA,YPG,blank
E8,NA,YPG,blank
A10,NA,YPD,blank
B6,NA,YPD,blank
A2,NA,YPDG,blank
C5,NA,YPDG,blank
